sample_id,model,dice,iou,mask_ratio,fp_ratio,fn_ratio
benign_105,U-Net,0.942746448557899,0.891693811074919,0.01715087890625,0.0925266903914591,0.0258007117437722
benign_105,U-KAN(no-KAN),0.93236301369863,0.873295910184443,0.01715087890625,0.109430604982206,0.0311387900355872
benign_105,U-KAN,0.930472103004292,0.869983948635634,0.01715087890625,0.108540925266904,0.0355871886120996
benign_105,Attention-U-KAN,0.947277441659464,0.899835796387521,0.01715087890625,0.0836298932384342,0.0249110320284698
benign_117,U-Net,0.819428571428571,0.694094869312681,0.0243682861328125,0.293675641828428,0.102066374452098
benign_117,U-KAN(no-KAN),0.92327868852459,0.857490864799026,0.0243682861328125,0.0281778334376957,0.118346900438322
benign_117,U-KAN,0.94368932038835,0.893382352941177,0.0243682861328125,0.0219160926737633,0.08703819661866
benign_117,Attention-U-KAN,0.940038684719536,0.886861313868613,0.0243682861328125,0.0294301815904822,0.08703819661866
benign_123,U-Net,0.927908455181182,0.865512333965844,0.056365966796875,0.141310232809962,0.0121819166215485
benign_123,U-KAN(no-KAN),0.932562620423892,0.873646209386282,0.056365966796875,0.124796968056308,0.0173253925284245
benign_123,U-KAN,0.955590800951626,0.914958238420653,0.056365966796875,0.0695722793719545,0.021386031402274
benign_123,Attention-U-KAN,0.946267485945875,0.898014888337469,0.056365966796875,0.0909583107742285,0.0203031943692474
benign_126,U-Net,0.872025723472669,0.77309007981756,0.0127716064453125,0.0477897252090801,0.189964157706093
benign_126,U-KAN(no-KAN),0.84968152866242,0.738648947951274,0.0127716064453125,0.0788530465949821,0.20310633213859
benign_126,U-KAN,0.889173606662396,0.800461361014994,0.0127716064453125,0.03584229390681,0.170848267622461
benign_126,Attention-U-KAN,0.869902912621359,0.769759450171821,0.0127716064453125,0.043010752688172,0.197132616487455
benign_13,U-Net,0.972896508798733,0.947223446452182,0.135574340820312,0.021496904895892,0.0324141812042769
benign_13,U-KAN(no-KAN),0.97263709953255,0.946731772278326,0.135574340820312,0.0141812042768711,0.0398424310635903
benign_13,U-KAN,0.973164956590371,0.947732513451191,0.135574340820312,0.0249859313449634,0.0285875070343275
benign_13,Attention-U-KAN,0.974141345555367,0.949586321014892,0.135574340820312,0.020258863252673,0.031176139561058
benign_130,U-Net,0.975831219121378,0.952803129074316,0.0567474365234375,0.0311911804248454,0.0174778166173703
benign_130,U-KAN(no-KAN),0.974317817014446,0.949921752738654,0.0567474365234375,0.0309222909384243,0.0207044904544232
benign_130,U-KAN,0.968511322524454,0.938945180566381,0.0567474365234375,0.0349556332347405,0.0282333960742135
benign_130,Attention-U-KAN,0.96671528974937,0.935574948665298,0.0567474365234375,0.0475934390965313,0.01989782199516
benign_132,U-Net,0.93913612565445,0.885256014805676,0.0241546630859375,0.0240050536955148,0.0934933670246368
benign_132,U-KAN(no-KAN),0.938709677419355,0.884498480243161,0.0241546630859375,0.0391661402400505,0.0808591282375237
benign_132,U-KAN,0.95922208281054,0.921639541892706,0.0241546630859375,0.0480101073910297,0.0341124447252053
benign_132,Attention-U-KAN,0.945736434108527,0.897058823529412,0.0241546630859375,0.030953885028427,0.0751737207833228
benign_136,U-Net,0.938950554994955,0.884926295767951,0.031280517578125,0.0258536585365854,0.0921951219512195
benign_136,U-KAN(no-KAN),0.925357873210634,0.861084681255947,0.031280517578125,0.0253658536585366,0.117073170731707
benign_136,U-KAN,0.939771283354511,0.886385426653883,0.031280517578125,0.0175609756097561,0.0980487804878049
benign_136,Attention-U-KAN,0.924503993816027,0.859607091518927,0.031280517578125,0.0180487804878049,0.124878048780488
benign_139,U-Net,0.951467268623025,0.907427341227126,0.0394439697265625,0.0781431334622824,0.0216634429400387
benign_139,U-KAN(no-KAN),0.942610652663166,0.891450869102519,0.0394439697265625,0.0905222437137331,0.027852998065764
benign_139,U-KAN,0.947936035701004,0.901025097207494,0.0394439697265625,0.0943907156673114,0.013926499032882
