dataset,sample_id,failure_type,dice,fp_ratio,fn_ratio
busi,benign_169,过分割主导,0.354733405875952,3.36994219653179,0.0578034682080925
busi,benign_196,漏分割主导,0.158348968105066,0.0848806366047745,0.906719717064545
cvc,68,过分割主导,0.452909288037586,1.74339912842861,0.196872596770059
cvc,141,漏分割主导,0.208792340162669,0.00351848647401511,0.88302474476553
