sample_id,model,dice,iou,mask_ratio,fp_ratio,fn_ratio
111,U-Net,0.972603648424544,0.946668388429752,0.23187255859375,0.0192155830481706,0.0351408265332982
111,U-KAN(no-KAN),0.972413112813599,0.946307436324075,0.23187255859375,0.028296920242169,0.026914977625691
111,U-KAN,0.980885013982563,0.962487086776859,0.23187255859375,0.0192155830481706,0.019018162674388
111,Attention-U-KAN,0.976925342846856,0.954891547763772,0.23187255859375,0.0284943406159516,0.0178994472229534
119,U-Net,0.827971646673937,0.706443358920679,0.121658325195312,0.0783895647811363,0.238178853631005
119,U-KAN(no-KAN),0.918466724934449,0.849226506580466,0.121658325195312,0.0864166562147247,0.0773861783519378
119,U-KAN,0.916746779465487,0.846290379836706,0.121658325195312,0.0599523391446131,0.102972532296501
119,Attention-U-KAN,0.935547246340072,0.878899738032865,0.121658325195312,0.0533049040511727,0.0742505957606923
122,U-Net,0.804329725228976,0.672701949860724,0.174713134765625,0.00331877729257642,0.325065502183406
122,U-KAN(no-KAN),0.871005342399223,0.771487567753592,0.174713134765625,0.0151091703056769,0.216855895196507
122,U-KAN,0.865108089601878,0.762282365109464,0.174713134765625,0.0132751091703057,0.227598253275109
122,Attention-U-KAN,0.882273732807541,0.789346872041993,0.174713134765625,0.0149344978165939,0.198864628820961
123,U-Net,0.89048473967684,0.802588996763754,0.152542114257812,0.0200060018005402,0.181354406321897
123,U-KAN(no-KAN),0.915274019841901,0.843783625158955,0.152542114257812,0.0226067820346104,0.137141142342703
123,U-KAN,0.914455845605827,0.842393966108336,0.152542114257812,0.0212063619085726,0.139741922576773
123,Attention-U-KAN,0.934317189773436,0.876731031792471,0.152542114257812,0.0257077123136941,0.10073021906572
125,U-Net,0.955302787568087,0.914430302100905,0.093902587890625,0.0596360090997725,0.031036724081898
125,U-KAN(no-KAN),0.957659372026641,0.918758557736194,0.093902587890625,0.0680857978550536,0.0186870328241794
125,U-KAN,0.944697564807541,0.8951913056424,0.093902587890625,0.0914852128696783,0.02291192720182
125,Attention-U-KAN,0.950252684775742,0.905220400180533,0.093902587890625,0.0801104972375691,0.0222619434514137
128,U-Net,0.971698113207547,0.944954128440367,0.055877685546875,0.0120152921900601,0.0436919716002185
128,U-KAN(no-KAN),0.98281036834925,0.966201716738197,0.055877685546875,0.0180229382850901,0.0163844893500819
128,U-KAN,0.966601178781925,0.935361216730038,0.055877685546875,0.00546149645002731,0.0595303113052977
128,Attention-U-KAN,0.974764281752635,0.95077089532053,0.055877685546875,0.00955761878754779,0.0401419989077007
132,U-Net,0.971908298353245,0.94535175879397,0.0485687255859375,0.000314169022934339,0.0543512409676406
132,U-KAN(no-KAN),0.966154810404262,0.93452561382237,0.0485687255859375,0.0364436066603833,0.0314169022934339
132,U-KAN,0.964297201672563,0.931055900621118,0.0485687255859375,0.0116242538485705,0.0581212692428527
132,Attention-U-KAN,0.958380202474691,0.920086393088553,0.0485687255859375,0.0182218033301916,0.0631479736098021
133,U-Net,0.965977167401379,0.934193266287713,0.069580078125,0.00307017543859649,0.0629385964912281
133,U-KAN(no-KAN),0.963591690864418,0.929741379310345,0.069580078125,0.0175438596491228,0.0539473684210526
133,U-KAN,0.954057142857143,0.91215034965035,0.069580078125,0.00350877192982456,0.0846491228070175
133,Attention-U-KAN,0.960072390001131,0.923210789645421,0.069580078125,0.0081140350877193,0.0692982456140351
134,U-Net,0.963840703640362,0.9302051402971,0.0643310546875,0.00592979127134725,0.0642789373814042
134,U-KAN(no-KAN),0.967875900818371,0.937751479289941,0.0643310546875,0.00213472485768501,0.060246679316888
134,U-KAN,0.958035053073315,0.919450367211561,0.0643310546875,0.00118595825426945,0.0794592030360531
134,Attention-U-KAN,0.960552268244576,0.924098671726755,0.0643310546875,0,0.0759013282732448
137,U-Net,0.966424811495234,0.935030970406056,0.104934692382812,0.0564199505598371,0.0122146284717173
137,U-KAN(no-KAN),0.961001788908766,0.924931129476584,0.104934692382812,0.0556928893412825,0.0235567834811691
