group,fp_over_gt,fn_over_gt
BUSI U-KAN,0.138538224173564,0.188239887998933
BUSI Attention,0.156539586091296,0.192799455232907
CVC U-KAN,0.0799685259477026,0.149677771910328
CVC Attention,0.0703923222228352,0.183211561853869
