name,dataset,model,seed,epochs,best_epoch,log_best_val_iou,final_val_iou,max_jump_epoch,max_positive_val_iou_jump,last10_val_iou_delta,evaluate_iou,evaluate_minus_log_best_iou
busi_attention_ukan_seed2981,busi,attention_ukan,2981,100,89,0.6485515918827403,0.6366788736401637,3,0.20923640951806044,-0.007337468601842256,0.6769490503346592,0.02839745845191899
busi_no_kan_seed2981,busi,ukan,2981,100,72,0.6793468042148186,0.6353105547547494,1,0.10787268219916729,0.02645660079633627,0.6486071686514269,-0.030739635563391765
busi_ukan_seed2981,busi,ukan,2981,100,77,0.6581464658920222,0.6519286870755184,6,0.09722732742959894,-0.002928418789818976,0.6873775191735417,0.029231053281519537
busi_unet_seed2981,busi,unet,2981,100,96,0.6263786343963224,0.6185454764900118,24,0.10118903336625629,0.022340559058583787,0.6369411045550853,0.010562470158762993
cvc_attention_ukan_seed2981,cvc,attention_ukan,2981,100,98,0.778425705689132,0.7648084356809594,8,0.1419698710206821,0.0024190397336736336,0.7630738946725099,-0.015351811016622197
cvc_no_kan_seed2981,cvc,ukan,2981,100,85,0.7746204374789553,0.7648161378071693,1,0.13165284708673264,0.0027122771943943746,0.7698787399578698,-0.004741697521085442
cvc_ukan_seed2981,cvc,ukan,2981,100,86,0.7893005487738707,0.7816024302153813,5,0.13438512849450074,0.0005643761974796213,0.7873583420808403,-0.0019422066930303572
cvc_unet_seed2981,cvc,unet,2981,100,99,0.7831605103048127,0.7831605103048127,24,0.10926925330911241,0.014964643593724403,0.7803221087778395,-0.0028384015269732332
