name,dataset,variant,model,seed,iou,dice,precision,recall,specificity,params,infer_ms_per_image
busi_attention_ukan_seed2981,busi,Attention-U-KAN,attention_ukan,2981,0.6769490503346592,0.807357922054417,0.8075151310163803,0.8072007742921667,0.9827760556876592,6362713,40.6914903847232
busi_no_kan_seed2981,busi,U-KAN(no-KAN),ukan,2981,0.6486071686514269,0.7868547231685186,0.8458512958326089,0.7355513676899689,0.9880004770012606,2764561,35.22474935902536
busi_no_kan_seed6142,busi,U-KAN(no-KAN),ukan,6142,0.5941635747887698,0.7454235991654719,0.7606333524869726,0.7308101947561905,0.9793035582254345,2764561,31.608564743715434
busi_ukan_seed2981,busi,U-KAN,ukan,2981,0.6873775191735417,0.8147287863716608,0.8177190264213212,0.8117603360980389,0.9838016723391381,6356689,37.15378717961124
busi_ukan_seed6142,busi,U-KAN,ukan,6142,0.6157005877400211,0.7621468883677749,0.8174271888782021,0.7138698774169777,0.9856514208860034,6356689,39.048868588556964
busi_unet_seed2981,busi,U-Net,unet,2981,0.6369411045550853,0.7782089444546065,0.8308120190605413,0.7318703846341577,0.9866584580390751,7763041,3.5984858971996565
cvc_attention_ukan_seed2981,cvc,Attention-U-KAN,attention_ukan,2981,0.7630738946725099,0.8656175977402814,0.9206561668519953,0.816788438146131,0.9925924748380247,6362713,44.01606557338277
cvc_no_kan_seed2981,cvc,U-KAN(no-KAN),ukan,2981,0.7698787399578698,0.8699790811388536,0.9047737271219599,0.837761506550964,0.9907213445155119,2764561,43.462268853098244
cvc_ukan_seed2981,cvc,U-KAN,ukan,2981,0.7873583420808403,0.8810302036738741,0.9140392123638263,0.8503222280896722,0.9915847517255012,6356689,45.897859835960965
cvc_ukan_seed2981_ft50,cvc,U-KAN,ukan,2981,0.7846844586767407,0.8793537197702133,0.9247648902821317,0.8381936836463661,0.9928240161567459,6356689,47.48584016428528
cvc_unet_seed2981,cvc,U-Net,unet,2981,0.7803221087778395,0.8766077834235482,0.9248088837176072,0.8331822683911715,0.992871430289475,7763041,3.717331967667722
