variant,seed2981_iou,seed2981_dice,seed6142_iou,seed6142_dice,mean_iou,mean_dice
U-KAN(no-KAN),0.6486,0.7869,0.5942,0.7454,0.6214,0.7661
U-KAN,0.6874,0.8147,0.6157,0.7621,0.6515,0.7884
